State,Median House Value,Median Household Income,Value to Income Ratio
Alabama,250800,93987,2.668454147914073
Alaska,368600,123085,2.994678474225129
Arizona,439600,106413,4.131074210857696
Arkansas,225600,91134,2.4754756731845413
California,745300,139980,5.324332047435348
Colorado,563000,128317,4.38757140519183
Connecticut,374700,135898,2.7572149700510677
Delaware,366500,108660,3.372906313270753
District of Columbia,728600,200101,3.6411612135871385
Florida,404300,101722,3.9745581093568747
Georgia,348700,107321,3.2491311113388806
Hawaii,859800,134229,6.405471246898956
Idaho,437800,101019,4.3338381888555615
Illinois,283200,113954,2.4852133316952454
Indiana,238600,96509,2.472308282129128
Iowa,227000,100452,2.2597857683271614
Kansas,249800,104256,2.396025168815224
Kentucky,238900,93375,2.558500669344043
Louisiana,246200,94627,2.6017944138565103
Maine,334200,101517,3.292059458021809
Maryland,428100,136098,3.1455274875457393
Massachusetts,581900,148916,3.9075720540438903
Michigan,256200,100049,2.560745234834931
Minnesota,339600,117719,2.8848359228331875
Mississippi,211000,86301,2.4449311131968345
Missouri,252100,99908,2.5233214557392802
Montana,425400,99781,4.263336707389183
Nebraska,264900,108328,2.445351155749206
Nevada,452200,106098,4.26209730626402
New Hampshire,430000,133468,3.2217460365031316
New Jersey,474700,146962,3.2300866890760878
New Mexico,290200,89745,3.233606329043401
New York,452100,129368,3.4946818378578937
North Carolina,343400,102228,3.3591579606370074
North Dakota,274100,114529,2.3932803045516855
Ohio,237700,101635,2.33876125350519
Oklahoma,234900,97438,2.4107637677292226
Oregon,509100,115458,4.409395624382893
Pennsylvania,283300,108129,2.6200186813898214
Rhode Island,425300,124620,3.4127748354999197
South Carolina,306900,97380,3.1515711645101665
South Dakota,293800,102210,2.8744741219058803
Tennessee,338200,98204,3.4438515742739604
Texas,341300,117304,2.909534201732251
Utah,527100,119939,4.394733989778137
Vermont,344900,110607,3.118247488856944
Virginia,410500,125721,3.265166519515435
Washington,597700,132986,4.494458063254779
West Virginia,198100,91698,2.160352461340487
Wisconsin,283400,106377,2.6641097229664306
Wyoming,320100,100712,3.17837000556041
Puerto Rico,153800,48878,3.146609926756414
